Date,young,adult,senior,male,female,accept,dead,rosc,all_CA,rural,urban,PM25,NO2,PM10,O3,SO2,CO,Temp,RH,Season
2016-01-01,0,6,22,11,17,5,15,4,28,17,11,44.667065,34.90484,48.003296,6.6517067,3.9009292,497.34103,0.36402822,78.129906,Winter
2016-01-02,0,6,23,16,13,3,18,3,29,14,15,31.281197,34.506603,34.46824,4.9244413,3.5356839,495.18304,-0.42855865,92.82188,Winter
2016-01-03,1,3,24,17,11,4,18,3,28,19,9,21.029175,35.370144,23.142826,7.4494762,3.651383,431.64243,0.3454794,91.777306,Winter
2016-01-04,0,4,19,14,9,5,11,3,23,17,6,20.907598,34.756413,23.871191,7.7582736,3.7622008,421.0972,-0.63367814,94.13592,Winter
2016-01-05,0,5,21,9,17,2,20,1,26,15,11,30.231405,34.99538,33.195663,5.3591356,3.8327959,470.74994,-0.28002504,88.5596,Winter
2016-01-06,0,7,27,15,19,4,15,3,34,19,15,33.430046,31.784538,35.72463,12.635804,3.9828975,441.65942,0.2338549,79.201035,Winter
2016-01-07,0,4,20,17,7,3,13,3,24,15,9,30.943134,43.38775,33.89822,6.455439,4.0786304,474.18884,-0.08128594,74.587814,Winter
2016-01-08,2,5,28,19,16,5,24,2,35,24,11,38.737305,43.857677,41.365746,6.1644974,3.7705114,502.72073,0.600695,77.620926,Winter
2016-01-09,0,6,19,10,15,4,16,1,25,14,11,32.06965,44.26683,34.16729,3.278551,3.8268023,603.45667,2.6511972,94.54542,Winter
2016-01-10,0,11,27,21,17,3,25,2,38,25,13,20.50801,34.176464,23.488338,4.2505937,3.5188525,480.31564,3.232023,95.492584,Winter
2016-01-11,0,6,16,16,6,4,14,1,22,15,7,13.778342,34.87127,15.858883,3.779685,3.3072917,367.55917,4.3629255,96.8272,Winter
2016-01-12,0,2,22,15,9,4,17,0,24,13,11,13.198204,39.806454,17.991772,10.749373,3.447675,369.48157,3.4120693,66.43654,Winter
