input,pollutant,lag,RR,ci_low,ci_high,pvalue,95% CI
senior,PM25,0,0.993,0.976,1.011,0.467,0.9757  - 1.0114
senior,PM25,1,0.995,0.985,1.005,0.347,0.9846  - 1.0055
senior,PM25,2,1.001,0.991,1.010,0.882,0.9913  - 1.0102
senior,PM25,3,1.006,1.000,1.012,0.056,0.9998  - 1.0119
senior,PM25,4,1.007,0.999,1.014,0.077,0.9993  - 1.0142
senior,PM25,5,1.004,0.998,1.010,0.163,0.9983  - 1.0098
senior,PM25,6,0.999,0.994,1.004,0.737,0.9943  - 1.0041
senior,PM25,7,0.993,0.983,1.004,0.201,0.9827  - 1.0037
senior,PM10,0,0.996,0.981,1.012,0.641,0.9807  - 1.0121
senior,PM10,1,0.997,0.988,1.007,0.550,0.9877  - 1.0066
senior,PM10,2,1.001,0.993,1.010,0.796,0.9926  - 1.0097
senior,PM10,3,1.005,1.000,1.010,0.072,0.9996  - 1.0100
senior,PM10,4,1.005,0.999,1.012,0.115,0.9987  - 1.0117
senior,PM10,5,1.003,0.998,1.008,0.225,0.9981  - 1.0082
senior,PM10,6,0.999,0.995,1.004,0.763,0.9950  - 1.0037
senior,PM10,7,0.995,0.985,1.004,0.267,0.9854  - 1.0041
senior,NO2,0,1.005,0.980,1.031,0.684,0.9803  - 1.0308
senior,NO2,1,0.994,0.979,1.009,0.418,0.9788  - 1.0089
senior,NO2,2,0.996,0.984,1.009,0.588,0.9836  - 1.0094
senior,NO2,3,1.004,0.995,1.013,0.392,0.9950  - 1.0128
senior,NO2,4,1.008,0.997,1.019,0.178,0.9966  - 1.0188
senior,NO2,5,1.008,0.999,1.018,0.096,0.9986  - 1.0177
senior,NO2,6,1.006,0.997,1.016,0.175,0.9972  - 1.0156
senior,NO2,7,1.004,0.987,1.020,0.670,0.9874  - 1.0199
senior,O3,0,0.996,0.981,1.010,0.553,0.9812  - 1.0102
senior,O3,1,1.007,0.999,1.015,0.097,0.9988  - 1.0151
senior,O3,2,1.006,0.999,1.014,0.096,0.9989  - 1.0135
senior,O3,3,1.000,0.995,1.006,0.856,0.9954  - 1.0055
senior,O3,4,0.997,0.991,1.002,0.230,0.9909  - 1.0022
senior,O3,5,0.994,0.990,0.999,0.015,0.9896  - 0.9989
senior,O3,6,0.993,0.988,0.998,0.004,0.9885  - 0.9977
senior,O3,7,0.992,0.984,1.001,0.085,0.9840  - 1.0010
senior,SO2,0,0.996,0.787,1.261,0.976,0.7871  - 1.2615
senior,SO2,1,0.955,0.825,1.106,0.540,0.8250  - 1.1059
senior,SO2,2,1.041,0.917,1.181,0.536,0.9173  - 1.1806
senior,SO2,3,1.155,1.054,1.266,0.002,1.0545  - 1.2656
senior,SO2,4,1.193,1.073,1.327,0.001,1.0727  - 1.3269
senior,SO2,5,1.160,1.063,1.267,0.001,1.0630  - 1.2670
senior,SO2,6,1.085,0.993,1.185,0.071,0.9930  - 1.1849
senior,SO2,7,0.994,0.845,1.168,0.941,0.8453  - 1.1685
senior,CO,0,1.001,0.998,1.003,0.578,0.9984  - 1.0028
senior,CO,1,1.000,0.999,1.001,0.943,0.9987  - 1.0014
senior,CO,2,1.000,0.999,1.001,0.554,0.9992  - 1.0015
senior,CO,3,1.001,1.000,1.002,0.043,1.0000  - 1.0016
senior,CO,4,1.001,1.000,1.002,0.058,1.0000  - 1.0019
senior,CO,5,1.001,1.000,1.002,0.065,1.0000  - 1.0016
senior,CO,6,1.000,1.000,1.001,0.356,0.9996  - 1.0011
senior,CO,7,1.000,0.998,1.001,0.830,0.9984  - 1.0013
adult,PM25,0,0.992,0.957,1.028,0.660,0.9570  - 1.0282
adult,PM25,1,1.007,0.986,1.028,0.528,0.9860  - 1.0279
adult,PM25,2,1.009,0.991,1.028,0.311,0.9914  - 1.0276
adult,PM25,3,1.006,0.994,1.018,0.354,0.9938  - 1.0176
adult,PM25,4,1.002,0.987,1.017,0.818,0.9870  - 1.0166
adult,PM25,5,0.998,0.986,1.010,0.742,0.9863  - 1.0099
adult,PM25,6,0.994,0.983,1.006,0.327,0.9834  - 1.0056
adult,PM25,7,0.991,0.969,1.013,0.423,0.9689  - 1.0133
adult,PM10,0,0.993,0.962,1.025,0.664,0.9621  - 1.0249
adult,PM10,1,1.009,0.991,1.027,0.333,0.9909  - 1.0274
adult,PM10,2,1.010,0.994,1.026,0.211,0.9943  - 1.0262
adult,PM10,3,1.005,0.994,1.015,0.399,0.9941  - 1.0150
adult,PM10,4,1.000,0.987,1.013,0.988,0.9874  - 1.0130
adult,PM10,5,0.997,0.987,1.007,0.569,0.9869  - 1.0073
adult,PM10,6,0.995,0.985,1.005,0.301,0.9852  - 1.0046
adult,PM10,7,0.993,0.974,1.013,0.488,0.9739  - 1.0127
adult,NO2,0,1.013,0.958,1.070,0.661,0.9578  - 1.0704
adult,NO2,1,0.984,0.949,1.019,0.364,0.9493  - 1.0193
adult,NO2,2,0.996,0.967,1.027,0.817,0.9669  - 1.0269
adult,NO2,3,1.020,1.000,1.040,0.055,0.9996  - 1.0400
adult,NO2,4,1.025,1.001,1.051,0.044,1.0007  - 1.0506
adult,NO2,5,1.016,0.996,1.037,0.116,0.9960  - 1.0367
adult,NO2,6,0.997,0.978,1.016,0.779,0.9784  - 1.0165
adult,NO2,7,0.974,0.939,1.010,0.154,0.9393  - 1.0099
adult,O3,0,1.005,0.972,1.040,0.767,0.9715  - 1.0400
adult,O3,1,1.016,0.998,1.034,0.074,0.9984  - 1.0341
adult,O3,2,1.011,0.995,1.027,0.169,0.9953  - 1.0272
adult,O3,3,1.002,0.991,1.014,0.713,0.9906  - 1.0140
adult,O3,4,1.000,0.986,1.013,0.953,0.9862  - 1.0132
adult,O3,5,1.002,0.991,1.014,0.687,0.9912  - 1.0136
adult,O3,6,1.009,0.998,1.019,0.117,0.9979  - 1.0194
adult,O3,7,1.017,0.997,1.037,0.093,0.9973  - 1.0365
adult,SO2,0,1.364,0.803,2.319,0.251,0.8029  - 2.3187
adult,SO2,1,1.110,0.786,1.568,0.554,0.7857  - 1.5679
adult,SO2,2,0.996,0.740,1.340,0.977,0.7397  - 1.3400
adult,SO2,3,0.957,0.780,1.174,0.674,0.7798  - 1.1744
adult,SO2,4,0.949,0.746,1.208,0.669,0.7456  - 1.2075
adult,SO2,5,0.961,0.786,1.175,0.701,0.7865  - 1.1753
adult,SO2,6,0.988,0.810,1.206,0.909,0.8103  - 1.2058
adult,SO2,7,1.024,0.712,1.471,0.900,0.7124  - 1.4709
adult,CO,0,0.998,0.993,1.003,0.482,0.9935  - 1.0031
adult,CO,1,0.999,0.996,1.002,0.671,0.9965  - 1.0023
adult,CO,2,1.000,0.998,1.003,0.698,0.9980  - 1.0029
adult,CO,3,1.001,0.999,1.003,0.181,0.9995  - 1.0029
adult,CO,4,1.001,0.999,1.003,0.278,0.9991  - 1.0033
adult,CO,5,1.001,0.999,1.002,0.484,0.9989  - 1.0023
adult,CO,6,1.000,0.998,1.001,0.722,0.9980  - 1.0014
adult,CO,7,0.999,0.995,1.002,0.390,0.9954  - 1.0018
male,PM25,0,0.986,0.968,1.005,0.159,0.9675  - 1.0054
male,PM25,1,0.999,0.987,1.010,0.798,0.9874  - 1.0098
male,PM25,2,1.004,0.994,1.014,0.408,0.9944  - 1.0138
male,PM25,3,1.005,0.999,1.012,0.129,0.9985  - 1.0116
male,PM25,4,1.004,0.996,1.012,0.309,0.9961  - 1.0125
male,PM25,5,1.002,0.996,1.009,0.504,0.9957  - 1.0087
male,PM25,6,0.999,0.993,1.005,0.837,0.9934  - 1.0053
male,PM25,7,0.996,0.984,1.008,0.530,0.9842  - 1.0082
male,PM10,0,0.988,0.972,1.005,0.180,0.9719  - 1.0054
male,PM10,1,1.000,0.991,1.010,0.925,0.9908  - 1.0102
male,PM10,2,1.005,0.996,1.013,0.279,0.9962  - 1.0132
male,PM10,3,1.004,0.999,1.010,0.127,0.9988  - 1.0100
male,PM10,4,1.003,0.996,1.010,0.366,0.9963  - 1.0102
male,PM10,5,1.002,0.996,1.007,0.580,0.9960  - 1.0072
male,PM10,6,1.000,0.994,1.005,0.893,0.9943  - 1.0050
male,PM10,7,0.998,0.987,1.008,0.647,0.9871  - 1.0081
male,NO2,0,0.992,0.962,1.022,0.593,0.9619  - 1.0225
male,NO2,1,0.987,0.970,1.005,0.160,0.9696  - 1.0051
male,NO2,2,0.997,0.982,1.013,0.725,0.9821  - 1.0127
male,NO2,3,1.009,0.999,1.020,0.082,0.9988  - 1.0202
male,NO2,4,1.013,1.000,1.026,0.047,1.0001  - 1.0264
male,NO2,5,1.010,0.999,1.020,0.063,0.9995  - 1.0202
male,NO2,6,1.002,0.991,1.012,0.748,0.9914  - 1.0120
male,NO2,7,0.991,0.971,1.012,0.406,0.9712  - 1.0119
male,O3,0,1.005,0.988,1.023,0.568,0.9878  - 1.0226
male,O3,1,1.010,1.000,1.020,0.049,1.0001  - 1.0203
male,O3,2,1.008,0.999,1.016,0.089,0.9988  - 1.0164
male,O3,3,1.002,0.996,1.009,0.424,0.9964  - 1.0086
male,O3,4,0.999,0.992,1.006,0.874,0.9924  - 1.0065
