var_lag_fun_knot,x
Temp.qaic_break_14,141191.404
Temp.qaic_break_13,141192.5406
Temp.qaic_break_12,141192.8808
Temp.qaic_break_11,141192.9423
Temp.qaic_break_10,141195.3587
Temp.qaic_break_9,141195.9955
Temp.qaic_break_8,141196.3809
Temp.qaic_knots_14_ns_1,141198.134
Temp.qaic_knots_14_bs_1,141198.134
Temp.qaic_knots_14_strata_1,141198.134
Temp.qaic_break_5,141198.4214
Temp.qaic_knots_11_ns_1,141199.4122
Temp.qaic_knots_11_bs_1,141199.4122
Temp.qaic_knots_11_strata_1,141199.4122
Temp.qaic_break_7,141199.4953
Temp.qaic_knots_12_ns_1,141199.8385
Temp.qaic_knots_12_bs_1,141199.8385
Temp.qaic_knots_12_strata_1,141199.8385
Temp.qaic_break_6,141200.3758
Temp.qaic_knots_8_ns_1,141200.5226
Temp.qaic_knots_8_bs_1,141200.5226
Temp.qaic_knots_8_strata_1,141200.5226
Temp.qaic_break_4,141200.806
Temp.qaic_knots_13_ns_1,141200.9038
Temp.qaic_knots_13_bs_1,141200.9038
Temp.qaic_knots_13_strata_1,141200.9038
Temp.qaic_knots_14_ns_2,141201.5338
Temp.qaic_knots_14_bs_2,141201.5338
Temp.qaic_knots_14_strata_2,141201.5338
Temp.qaic_knots_5_ns_1,141201.8777
Temp.qaic_knots_5_bs_1,141201.8777
Temp.qaic_knots_5_strata_1,141201.8777
Temp.qaic_knots_9_ns_1,141202.7594
Temp.qaic_knots_9_bs_1,141202.7594
Temp.qaic_knots_9_strata_1,141202.7594
Temp.qaic_knots_12_ns_2,141203.3275
Temp.qaic_knots_12_bs_2,141203.3275
Temp.qaic_knots_12_strata_2,141203.3275
Temp.qaic_knots_10_ns_1,141203.6171
Temp.qaic_knots_10_bs_1,141203.6171
Temp.qaic_knots_10_strata_1,141203.6171
Temp.qaic_knots_11_ns_2,141204.1414
Temp.qaic_knots_11_bs_2,141204.1414
Temp.qaic_knots_11_strata_2,141204.1414
Temp.qaic_break_3,141204.9111
Temp.qaic_knots_7_ns_1,141205.0251
Temp.qaic_knots_7_bs_1,141205.0251
Temp.qaic_knots_7_strata_1,141205.0251
Temp.qaic_knots_13_ns_2,141205.0304
Temp.qaic_knots_13_bs_2,141205.0304
Temp.qaic_knots_13_strata_2,141205.0304
Temp.qaic_break_2,141205.2832
Temp.qaic_knots_8_ns_2,141205.6143
Temp.qaic_knots_8_bs_2,141205.6143
Temp.qaic_knots_8_strata_2,141205.6143
Temp.qaic_knots_5_ns_2,141205.858
Temp.qaic_knots_5_bs_2,141205.858
Temp.qaic_knots_5_strata_2,141205.858
Temp.qaic_knots_6_ns_1,141207.4443
Temp.qaic_knots_6_bs_1,141207.4443
Temp.qaic_knots_6_strata_1,141207.4443
Temp.qaic_knots_14_ns_3,141207.6008
Temp.qaic_knots_14_bs_3,141207.6008
Temp.qaic_knots_14_strata_3,141207.6008
Temp.qaic_knots_4_ns_1,141207.7259
Temp.qaic_knots_4_bs_1,141207.7259
Temp.qaic_knots_4_strata_1,141207.7259
Temp.qaic_knots_10_ns_2,141207.7561
